Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
元日,01/01/2023,,01/01/2023,,True,"日本の祝日

Tags: holiday",,False
元日 振替休日,01/02/2023,,01/02/2023,,True,"日本の祝日

Tags: holiday",,False
自分の練習,01/03/2023,,01/03/2023,,True,"ペース: k/4'21
距離: 10.00km

Status: done
Tags: ランニング, 自分の練習",,False
成人の日,01/09/2023,,01/09/2023,,True,"日本の祝日

Tags: holiday",,False
建国記念の日,02/11/2023,,02/11/2023,,True,"日本の祝日

Tags: holiday",,False
天皇誕生日,02/23/2023,,02/23/2023,,True,"日本の祝日

Tags: holiday",,False
大学立ち入り禁止,03/09/2023,11:00 PM,03/09/2023,,False,Status: scheduled,,False
春分の日,03/21/2023,,03/21/2023,,True,"日本の祝日

Tags: holiday",,False
大牟田春季記録会,03/25/2023,,03/25/2023,,True,Status: scheduled,,False
音楽部会打ち上げ,03/28/2023,9:00 AM,03/28/2023,,False,"https://www.hotpepper.jp/strJ000034086/
https://www.google.com/maps/place/32%C2%B048'02.2%22N+130%C2%B042'24.2%22E/@32.8006023,130.7067207,18z/data=!4m4!3m3!8m2!3d32.8006023!4d130.7067207?hl=ja


Status: scheduled",,False
千葉出張,04/02/2023,,04/02/2023,,True,"4/2(日)
 14:00までに熊本空港に集合
熊本14:55→羽田16:40 

4/4(火) 
羽田16:35→熊本18:30 
アパホテル（西船橋駅前）


Status: scheduled",,False
在宅勤務,04/27/2023,,04/27/2023,,True,Status: scheduled,,False
在宅勤務,04/28/2023,,04/28/2023,,True,Status: scheduled,,False
昭和の日,04/29/2023,,04/29/2023,,True,"日本の祝日

Tags: holiday",,False
在宅勤務,05/02/2023,,05/02/2023,,True,Status: scheduled,,False
憲法記念日,05/03/2023,,05/03/2023,,True,"日本の祝日

Tags: holiday",,False
みどりの日,05/04/2023,,05/04/2023,,True,"日本の祝日

Tags: holiday",,False
こどもの日,05/05/2023,,05/05/2023,,True,"日本の祝日

Tags: holiday",,False
fabpro MTG,05/05/2023,11:00 AM,05/05/2023,,False,Status: scheduled,,False
熊本メンバーで昼食,05/26/2023,3:00 AM,05/26/2023,,False,Status: scheduled,,False
荒尾市陸上競技選手権,06/03/2023,,06/03/2023,,True,Status: scheduled,,False
もんじゃ,06/05/2023,10:00 AM,06/05/2023,,False,Status: scheduled,,False
中学選手権,06/10/2023,,06/10/2023,,True,Status: scheduled,,False
免許更新,06/18/2023,,06/18/2023,,True,Status: scheduled,,False
通信陸上,06/24/2023,,06/24/2023,,True,Status: scheduled,,False
熊本県長距離記録会,07/01/2023,,07/01/2023,,True,Status: scheduled,,False
夕食,07/07/2023,12:30 PM,07/07/2023,,False,Status: scheduled,,False
国体最終選考,07/08/2023,,07/08/2023,,True,Status: scheduled,,False
免許更新予備日,07/09/2023,,07/09/2023,,True,Status: scheduled,,False
海の日,07/17/2023,,07/17/2023,,True,"日本の祝日

Tags: holiday",,False
岱明中夏休み開始,07/22/2023,,07/22/2023,,True,Status: scheduled,,False
県中体連陸上,07/22/2023,,07/22/2023,,True,Status: scheduled,,False
熊本市陸上記録会,07/29/2023,,07/29/2023,,True,Status: scheduled,,False
荒尾サマー陸上,07/30/2023,,07/30/2023,,True,Status: scheduled,,False
山の日,08/11/2023,,08/11/2023,,True,"日本の祝日

Tags: holiday",,False
休暇日,08/14/2023,,08/14/2023,,True,Status: scheduled,,False
休暇日,08/15/2023,,08/15/2023,,True,Status: scheduled,,False
MDC福岡,08/19/2023,,08/19/2023,,True,Status: scheduled,,False
食事会,08/22/2023,10:00 AM,08/22/2023,,False,Status: scheduled,,False
FABPROミーティング,08/25/2023,11:00 AM,08/25/2023,,False,Status: scheduled,,False
ジュニアオリンピック,08/26/2023,,08/26/2023,,True,Status: scheduled,,False
県大練習会,08/26/2023,10:00 AM,08/26/2023,,False,Status: scheduled,,False
岱明中夏休み終了,08/27/2023,,08/27/2023,,True,Status: scheduled,,False
県大練習会,08/27/2023,10:00 AM,08/27/2023,,False,Status: scheduled,,False
県大練習会,08/30/2023,10:00 AM,08/30/2023,,False,Status: scheduled,,False
学年別陸上,09/02/2023,,09/02/2023,,True,Status: scheduled,,False
県大練習会,09/03/2023,10:00 AM,09/03/2023,,False,Status: scheduled,,False
県大練習会,09/06/2023,10:00 AM,09/06/2023,,False,Status: scheduled,,False
県民体育祭　結団式,09/08/2023,9:30 AM,09/08/2023,,False,Status: scheduled,,False
県大練習会,09/10/2023,10:00 AM,09/10/2023,,False,Status: scheduled,,False
遅めの400mインターバル,09/13/2023,,09/13/2023,,True,"400m78〜80で10本　間140m40〜45

Status: done
Tags: 自分の練習",,False
県大練習会,09/13/2023,10:00 AM,09/13/2023,,False,Status: scheduled,,False
高校新人戦,09/15/2023,,09/15/2023,,True,Status: scheduled,,False
県大練習会,09/15/2023,10:00 AM,09/15/2023,,False,Status: scheduled,,False
県大練習会,09/17/2023,10:00 AM,09/17/2023,,False,Status: scheduled,,False
敬老の日,09/18/2023,,09/18/2023,,True,"日本の祝日

Tags: holiday",,False
県大練習会,09/20/2023,10:00 AM,09/20/2023,,False,Status: scheduled,,False
自分の練習,09/22/2023,,09/22/2023,,True,"ペース: k/4'24
距離: 6.82km
時間: 30'00

Status: done
Tags: ランニング, 自分の練習",,False
県民体育祭,09/23/2023,,09/23/2023,,True,Status: scheduled,,False
秋分の日,09/23/2023,,09/23/2023,,True,"日本の祝日

Tags: holiday",,False
遅めの400mインターバル,09/27/2023,,09/27/2023,,True,"400m78で10本　間140m40〜45

Status: done
Tags: 自分の練習",,False
のレビュー: AZ-104 - Microsoft Azure Administrator - 日本語 (JPN),09/27/2023,1:00 AM,09/27/2023,,False,"のレビュー: AZ-104 - Microsoft Azure Administrator - 日本語 (JPN)
試験時間 (受験者同意書、手順とチュートリアルの確認、試験問題への回答、コメント記入の時間を含みます。試験がラボを含んでいない場合は、20 
分間短縮されます。) ‎120‎ 分‎, テストセンター (行き方は下記を参照) 熊本辛島公園テストセンター, 860-0012, 熊本県 熊本市, 中央区紺屋今町1-5, 
Wビルディング辛島公園5Ｆ パソコンスクールシステムランド熊本校, 有限会社システムランド パソコンスクールシステムランド熊本校, 日本

Confirmation number: 0068-7835-0840


Status: scheduled",,False
中学ジュニア大会,09/30/2023,,09/30/2023,,True,Status: scheduled,,False
岱明町町民体育祭,10/01/2023,,10/01/2023,,True,Status: scheduled,,False
のレビュー: AZ-305 - Designing Microsoft Azure Infrastructure Solutions - 日本語 (JPN),10/04/2023,1:00 AM,10/04/2023,,False,"のレビュー: AZ-305 - Designing Microsoft Azure Infrastructure Solutions - 日本語 (JPN)
試験時間 (受験者同意書、手順とチュートリアルの確認、試験問題への回答、コメント記入の時間を含みます。試験がラボを含んでいない場合は、20 
分間短縮されます。) ‎120‎ 分‎, テストセンター (行き方は下記を参照) 熊本辛島公園テストセンター, 860-0012, 熊本県 熊本市, 中央区紺屋今町1-5, 
Wビルディング辛島公園5Ｆ パソコンスクールシステムランド熊本校, 有限会社システムランド パソコンスクールシステムランド熊本校, 日本

Confirmation number: 0068-8995-1357


Status: scheduled",,False
会社の飲み会,10/06/2023,10:00 AM,10/06/2023,,False,Status: scheduled,,False
スポーツの日,10/09/2023,,10/09/2023,,True,"日本の祝日

Tags: holiday",,False
会社合宿,10/13/2023,,10/13/2023,,True,Status: scheduled,,False
Meta Quest 3 おさわり会,10/16/2023,10:00 AM,10/16/2023,,False,Status: scheduled,,False
中体連駅伝,10/18/2023,,10/18/2023,,True,Status: scheduled,,False
文化の日,11/03/2023,,11/03/2023,,True,"日本の祝日

Tags: holiday",,False
電車運休,11/06/2023,,11/06/2023,,True,Status: scheduled,,False
