Name,Date,End Date,Category,Status,Tags,URLs,Description,Location,All Day
元日,2023-01-01,2023-01-01,祝日,,holiday,,日本の祝日,,true
元日 振替休日,2023-01-02,2023-01-02,祝日,,holiday,,日本の祝日,,true
自分の練習,2023-01-03,2023-01-03,予定,done,"ランニング, 自分の練習",,"ペース: k/4'21
距離: 10.00km",,true
成人の日,2023-01-09,2023-01-09,祝日,,holiday,,日本の祝日,,true
建国記念の日,2023-02-11,2023-02-11,祝日,,holiday,,日本の祝日,,true
天皇誕生日,2023-02-23,2023-02-23,祝日,,holiday,,日本の祝日,,true
大学立ち入り禁止,2023-03-09T23:00:00,2023-03-09,予定,scheduled,,,,,false
春分の日,2023-03-21,2023-03-21,祝日,,holiday,,日本の祝日,,true
大牟田春季記録会,2023-03-25,2023-03-25,予定,scheduled,,,,,true
音楽部会打ち上げ,2023-03-28T09:00:00,2023-03-28,予定,scheduled,,,"https://www.hotpepper.jp/strJ000034086/
https://www.google.com/maps/place/32%C2%B048'02.2%22N+130%C2%B042'24.2%22E/@32.8006023,130.7067207,18z/data=!4m4!3m3!8m2!3d32.8006023!4d130.7067207?hl=ja
",,false
千葉出張,2023-04-02,2023-04-02,予定,scheduled,,,"4/2(日)
 14:00までに熊本空港に集合
熊本14:55→羽田16:40 

4/4(火) 
羽田16:35→熊本18:30 
アパホテル（西船橋駅前）
",,true
在宅勤務,2023-04-27,2023-04-27,予定,scheduled,,,,,true
在宅勤務,2023-04-28,2023-04-28,予定,scheduled,,,,,true
昭和の日,2023-04-29,2023-04-29,祝日,,holiday,,日本の祝日,,true
在宅勤務,2023-05-02,2023-05-02,予定,scheduled,,,,,true
憲法記念日,2023-05-03,2023-05-03,祝日,,holiday,,日本の祝日,,true
みどりの日,2023-05-04,2023-05-04,祝日,,holiday,,日本の祝日,,true
こどもの日,2023-05-05,2023-05-05,祝日,,holiday,,日本の祝日,,true
fabpro MTG,2023-05-05T11:00:00,2023-05-05,予定,scheduled,,,,,false
熊本メンバーで昼食,2023-05-26T03:00:00,2023-05-26,予定,scheduled,,,,,false
荒尾市陸上競技選手権,2023-06-03,2023-06-03,予定,scheduled,,,,,true
もんじゃ,2023-06-05T10:00:00,2023-06-05,予定,scheduled,,,,,false
中学選手権,2023-06-10,2023-06-10,予定,scheduled,,,,,true
免許更新,2023-06-18,2023-06-18,予定,scheduled,,,,,true
通信陸上,2023-06-24,2023-06-24,予定,scheduled,,,,,true
熊本県長距離記録会,2023-07-01,2023-07-01,予定,scheduled,,,,,true
夕食,2023-07-07T12:30:00,2023-07-07,予定,scheduled,,,,,false
国体最終選考,2023-07-08,2023-07-08,予定,scheduled,,,,,true
免許更新予備日,2023-07-09,2023-07-09,予定,scheduled,,,,,true
海の日,2023-07-17,2023-07-17,祝日,,holiday,,日本の祝日,,true
岱明中夏休み開始,2023-07-22,2023-07-22,予定,scheduled,,,,,true
県中体連陸上,2023-07-22,2023-07-22,予定,scheduled,,,,,true
熊本市陸上記録会,2023-07-29,2023-07-29,予定,scheduled,,,,,true
荒尾サマー陸上,2023-07-30,2023-07-30,予定,scheduled,,,,,true
山の日,2023-08-11,2023-08-11,祝日,,holiday,,日本の祝日,,true
休暇日,2023-08-14,2023-08-14,予定,scheduled,,,,,true
休暇日,2023-08-15,2023-08-15,予定,scheduled,,,,,true
MDC福岡,2023-08-19,2023-08-19,予定,scheduled,,,,,true
食事会,2023-08-22T10:00:00,2023-08-22,予定,scheduled,,,,,false
FABPROミーティング,2023-08-25T11:00:00,2023-08-25,予定,scheduled,,,,,false
ジュニアオリンピック,2023-08-26,2023-08-26,予定,scheduled,,,,,true
県大練習会,2023-08-26T10:00:00,2023-08-26,予定,scheduled,,,,,false
岱明中夏休み終了,2023-08-27,2023-08-27,予定,scheduled,,,,,true
県大練習会,2023-08-27T10:00:00,2023-08-27,予定,scheduled,,,,,false
県大練習会,2023-08-30T10:00:00,2023-08-30,予定,scheduled,,,,,false
