title,date,end_date,all_day,start_time,end_time,category,status,tags,urls,description,location,private,kind
元日,2025-01-01,2025-01-01,true,,,祝日,,holiday,,日本の祝日,,false,event
会社の飲み会,2025-01-10,2025-01-10,true,,,予定,scheduled,,,,,false,event
大牟田駅伝,2025-01-12,2025-01-12,true,,,予定,scheduled,,,,,false,event
成人の日,2025-01-13,2025-01-13,true,,,祝日,,holiday,,日本の祝日,,false,event
長州マラソン,2025-01-13,2025-01-13,true,,,予定,scheduled,,,,,false,event
玉名駅伝,2025-01-19,2025-01-19,true,,,予定,scheduled,,,,,false,event
熊日駅伝最終オーダー提出,2025-02-06,2025-02-06,true,,,予定,scheduled,,,,,false,event
熊日駅伝,2025-02-08,2025-02-08,true,,,予定,scheduled,,,,,false,event
有休,2025-02-10,2025-02-10,true,,,予定,scheduled,,,,,false,event
建国記念の日,2025-02-11,2025-02-11,true,,,祝日,,holiday,,日本の祝日,,false,event
熊本城マラソン,2025-02-16,2025-02-16,true,,,予定,scheduled,,,,,false,event
有休,2025-02-17,2025-02-17,true,,,予定,scheduled,,,,,false,event
天皇誕生日,2025-02-23,2025-02-23,true,,,祝日,,holiday,,日本の祝日,,false,event
玉名いだてんマラソン2025,2025-02-23,2025-02-23,true,,,予定,scheduled,,,,,false,event
天皇誕生日 振替休日,2025-02-24,2025-02-24,true,,,祝日,,holiday,,日本の祝日,,false,event
岱明中陸上部お別れ会,2025-03-08,2025-03-08,true,,,予定,scheduled,,,,,false,event
金栗駅伝,2025-03-09,2025-03-09,true,,,予定,scheduled,,,,,false,event
春分の日,2025-03-20,2025-03-20,true,,,祝日,,holiday,,日本の祝日,,false,event
熊澤先生送別会,2025-03-29,2025-03-29,false,10:00,,予定,scheduled,,,,,false,event
入社式,2025-04-01,2025-04-01,true,,,予定,scheduled,,,,,false,event
金栗選抜陸上,2025-04-12,2025-04-12,true,,,予定,scheduled,,,,,false,event
全九州都市対抗陸上,2025-04-13,2025-04-13,true,,,予定,scheduled,,,,,false,event
小泉さん皆川さん訪問,2025-04-14,2025-04-14,true,,,予定,scheduled,,,,,false,event
いだてん岱明保護者会,2025-04-15,2025-04-15,false,10:00,,予定,scheduled,,,,,false,event
会社飲み会,2025-04-18,2025-04-18,true,,,予定,scheduled,,,,,false,event
熊本市陸上選手権,2025-04-19,2025-04-19,true,,,予定,scheduled,,,,,false,event
熊本県選手権,2025-04-26,2025-04-26,true,,,予定,scheduled,,,,,false,event
有給,2025-04-28,2025-04-28,true,,,予定,scheduled,,,,,false,event
昭和の日,2025-04-29,2025-04-29,true,,,祝日,,holiday,,日本の祝日,,false,event
憲法記念日,2025-05-03,2025-05-03,true,,,祝日,,holiday,,日本の祝日,,false,event
みどりの日,2025-05-04,2025-05-04,true,,,祝日,,holiday,,日本の祝日,,false,event
こどもの日,2025-05-05,2025-05-05,true,,,祝日,,holiday,,日本の祝日,,false,event
みどりの日 振替休日,2025-05-06,2025-05-06,true,,,祝日,,holiday,,日本の祝日,,false,event
藤本さんリモート,2025-05-07,2025-05-07,true,,,予定,scheduled,,,,,false,event
藤本さんリモート,2025-05-08,2025-05-08,true,,,予定,scheduled,,,,,false,event
岱明中陸上部保護者会,2025-05-08,2025-05-08,false,10:00,,予定,scheduled,,,,,false,event
藤本さんリモート,2025-05-09,2025-05-09,true,,,予定,scheduled,,,,,false,event
熊本県長距離記録会,2025-05-10,2025-05-10,true,,,予定,scheduled,,,,,false,event
午後休,2025-05-16,2025-05-16,true,,,予定,scheduled,,,,,false,event
岱明中体育大会,2025-05-18,2025-05-18,true,,,予定,scheduled,,,,,false,event
飲み会（水炊き）,2025-05-20,2025-05-20,false,10:00,,予定,scheduled,,,,,false,event
熊本市陸上競技記録会,2025-05-24,2025-05-24,true,,,予定,scheduled,,,,,false,event
県民体育祭予選会,2025-05-25,2025-05-25,true,,,予定,scheduled,,,,,false,event
Dさんリモート,2025-05-27,2025-05-27,true,,,予定,scheduled,,,,,false,event
熊本県高校総体,2025-05-30,2025-05-30,true,,,予定,scheduled,,,,,false,event
Dさんリモート,2025-06-03,2025-06-03,true,,,予定,scheduled,,,,,false,event
Dさんリモート,2025-06-04,2025-06-04,true,,,予定,scheduled,,,,,false,event
藤本さん・Dさん・土山リモート,2025-06-05,2025-06-05,true,,,予定,scheduled,,,,,false,event
中学選手権,2025-06-07,2025-06-07,true,,,予定,scheduled,,,,,false,event
藤本さん・Dさん・土山リモート,2025-06-09,2025-06-09,true,,,予定,scheduled,,,,,false,event
荒尾選手権,2025-06-14,2025-06-14,true,,,予定,scheduled,,,,,false,event
コーヒーにお金を使わない期間開始,2025-06-22,2025-06-22,true,,,予定,scheduled,,,,,false,event
コーヒーを買わない開始日,2025-06-26,2025-06-26,true,,,予定,scheduled,,,,,false,event
通信陸上,2025-06-28,2025-06-28,true,,,予定,scheduled,,,,,false,event
永井監督祝い実行委員会,2025-06-28,2025-06-28,false,11:00,,予定,scheduled,,,,,false,event
