Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
元日,01/01/2025,,01/01/2025,,True,"日本の祝日

Tags: holiday",,False
会社の飲み会,01/10/2025,,01/10/2025,,True,Status: scheduled,,False
大牟田駅伝,01/12/2025,,01/12/2025,,True,Status: scheduled,,False
成人の日,01/13/2025,,01/13/2025,,True,"日本の祝日

Tags: holiday",,False
長州マラソン,01/13/2025,,01/13/2025,,True,Status: scheduled,,False
玉名駅伝,01/19/2025,,01/19/2025,,True,Status: scheduled,,False
熊日駅伝最終オーダー提出,02/06/2025,,02/06/2025,,True,Status: scheduled,,False
熊日駅伝,02/08/2025,,02/08/2025,,True,Status: scheduled,,False
有休,02/10/2025,,02/10/2025,,True,Status: scheduled,,False
建国記念の日,02/11/2025,,02/11/2025,,True,"日本の祝日

Tags: holiday",,False
熊本城マラソン,02/16/2025,,02/16/2025,,True,Status: scheduled,,False
有休,02/17/2025,,02/17/2025,,True,Status: scheduled,,False
天皇誕生日,02/23/2025,,02/23/2025,,True,"日本の祝日

Tags: holiday",,False
玉名いだてんマラソン2025,02/23/2025,,02/23/2025,,True,Status: scheduled,,False
天皇誕生日 振替休日,02/24/2025,,02/24/2025,,True,"日本の祝日

Tags: holiday",,False
岱明中陸上部お別れ会,03/08/2025,,03/08/2025,,True,Status: scheduled,,False
金栗駅伝,03/09/2025,,03/09/2025,,True,Status: scheduled,,False
春分の日,03/20/2025,,03/20/2025,,True,"日本の祝日

Tags: holiday",,False
熊澤先生送別会,03/29/2025,10:00 AM,03/29/2025,,False,Status: scheduled,,False
入社式,04/01/2025,,04/01/2025,,True,Status: scheduled,,False
金栗選抜陸上,04/12/2025,,04/12/2025,,True,Status: scheduled,,False
全九州都市対抗陸上,04/13/2025,,04/13/2025,,True,Status: scheduled,,False
小泉さん皆川さん訪問,04/14/2025,,04/14/2025,,True,Status: scheduled,,False
いだてん岱明保護者会,04/15/2025,10:00 AM,04/15/2025,,False,Status: scheduled,,False
会社飲み会,04/18/2025,,04/18/2025,,True,Status: scheduled,,False
熊本市陸上選手権,04/19/2025,,04/19/2025,,True,Status: scheduled,,False
熊本県選手権,04/26/2025,,04/26/2025,,True,Status: scheduled,,False
有給,04/28/2025,,04/28/2025,,True,Status: scheduled,,False
昭和の日,04/29/2025,,04/29/2025,,True,"日本の祝日

Tags: holiday",,False
憲法記念日,05/03/2025,,05/03/2025,,True,"日本の祝日

Tags: holiday",,False
みどりの日,05/04/2025,,05/04/2025,,True,"日本の祝日

Tags: holiday",,False
こどもの日,05/05/2025,,05/05/2025,,True,"日本の祝日

Tags: holiday",,False
みどりの日 振替休日,05/06/2025,,05/06/2025,,True,"日本の祝日

Tags: holiday",,False
藤本さんリモート,05/07/2025,,05/07/2025,,True,Status: scheduled,,False
藤本さんリモート,05/08/2025,,05/08/2025,,True,Status: scheduled,,False
岱明中陸上部保護者会,05/08/2025,10:00 AM,05/08/2025,,False,Status: scheduled,,False
