Name,Date,End Date,Category,Status,Tags,URLs,Description,Location,All Day
岱明中冬休み,2026-12-25,2027-01-07,予定,scheduled,,,,,true
元日,2027-01-01,2027-01-01,祝日,,holiday,,日本の祝日,,true
成人の日,2027-01-11,2027-01-11,祝日,,holiday,,日本の祝日,,true
第５回 熊本県高校新人駅伝競走大会（男女）,2027-01-30,2027-01-30,予定,scheduled,"ランニング, 県大会一覧",http://kumariku.com/info/wp-content/uploads/2026/04/b652729b4a1eecb47ebc1e6e01321a6e.pdf,熊本県陸上競技大会一覧（2026/5/31版）より追加,えがお健康スタジアム,true
3年公立前期選抜入試,2027-02-01,2027-02-01,予定,scheduled,,,,,true
Long-Distance in Omuta,2027-02-07,2027-02-07,予定,scheduled,,,,,true
3年後期期末テスト,2027-02-08,2027-02-08,予定,scheduled,,,,,true
1・2年後期期末テスト,2027-02-10,2027-02-10,予定,scheduled,,,,,true
建国記念の日,2027-02-11,2027-02-11,祝日,,holiday,,日本の祝日,,true
1・2年後期期末テスト,2027-02-12,2027-02-12,予定,scheduled,,,,,true
第５３回 熊日郡市対抗駅伝,2027-02-14,2027-02-14,予定,scheduled,,,,,true
熊本城マラソン,2027-02-21,2027-02-21,予定,scheduled,,,,,true
第６９回 金栗記念熊日３０Ｋロードレース（３０ｋｍ）,2027-02-21,2027-02-21,予定,scheduled,"ランニング, 県大会一覧",http://kumariku.com/info/wp-content/uploads/2026/04/b652729b4a1eecb47ebc1e6e01321a6e.pdf,熊本県陸上競技大会一覧（2026/5/31版）より追加,熊本城マラソンコース,true
天皇誕生日,2027-02-23,2027-02-23,祝日,,holiday,,日本の祝日,,true
第８０回 熊本市民駅伝大会,2027-02-27,2027-02-27,予定,scheduled,,,,,true
岱明中振替休業日,2027-03-02,2027-03-02,予定,scheduled,,,,,true
公立後期入試,2027-03-03,2027-03-04,予定,scheduled,,,,,true
岱明中卒業式,2027-03-06,2027-03-06,予定,scheduled,,,,,true
第７８回 金栗杯玉名ハーフマラソン（ハーフ･10ｋｍ）,2027-03-07,2027-03-07,予定,scheduled,,,,,true
第７回 天草市陸上競技記録会,2027-03-13,2027-03-13,予定,scheduled,"ランニング, 県大会一覧",http://kumariku.com/info/wp-content/uploads/2026/04/b652729b4a1eecb47ebc1e6e01321a6e.pdf,熊本県陸上競技大会一覧（2026/5/31版）より追加,あましんスタジアム,true
第２回 奥球磨女子駅伝大会,2027-03-14,2027-03-14,予定,scheduled,"ランニング, 県大会一覧",http://kumariku.com/info/wp-content/uploads/2026/04/b652729b4a1eecb47ebc1e6e01321a6e.pdf,熊本県陸上競技大会一覧（2026/5/31版）より追加,奥球磨,true
金栗駅伝,2027-03-14,2027-03-14,予定,scheduled,,,,,true
春季熊本陸協記録会,2027-03-20,2027-03-20,予定,scheduled,"ランニング, 県大会一覧",http://kumariku.com/info/wp-content/uploads/2026/04/b652729b4a1eecb47ebc1e6e01321a6e.pdf,熊本県陸上競技大会一覧（2026/5/31版）より追加,えがお健康スタジアム,true
春分の日,2027-03-21,2027-03-21,祝日,,holiday,,日本の祝日,,true
春分の日 振替休日,2027-03-22,2027-03-22,祝日,,holiday,,日本の祝日,,true
さくら記録会,2027-03-27,2027-03-27,予定,scheduled,,,,,true
昭和の日,2027-04-29,2027-04-29,祝日,,holiday,,日本の祝日,,true
憲法記念日,2027-05-03,2027-05-03,祝日,,holiday,,日本の祝日,,true
みどりの日,2027-05-04,2027-05-04,祝日,,holiday,,日本の祝日,,true
こどもの日,2027-05-05,2027-05-05,祝日,,holiday,,日本の祝日,,true
海の日,2027-07-19,2027-07-19,祝日,,holiday,,日本の祝日,,true
山の日,2027-08-11,2027-08-11,祝日,,holiday,,日本の祝日,,true
敬老の日,2027-09-20,2027-09-20,祝日,,holiday,,日本の祝日,,true
秋分の日,2027-09-23,2027-09-23,祝日,,holiday,,日本の祝日,,true
スポーツの日,2027-10-11,2027-10-11,祝日,,holiday,,日本の祝日,,true
文化の日,2027-11-03,2027-11-03,祝日,,holiday,,日本の祝日,,true
勤労感謝の日,2027-11-23,2027-11-23,祝日,,holiday,,日本の祝日,,true
