title,date,end_date,all_day,start_time,end_time,category,status,tags,urls,description,location,private,kind
岱明中冬休み,2026-12-25,2027-01-07,true,,,予定,scheduled,,,,,false,event
元日,2027-01-01,2027-01-01,true,,,祝日,,holiday,,日本の祝日,,false,event
成人の日,2027-01-11,2027-01-11,true,,,祝日,,holiday,,日本の祝日,,false,event
第５回 熊本県高校新人駅伝競走大会（男女）,2027-01-30,2027-01-30,true,,,予定,scheduled,"ランニング, 県大会一覧",http://kumariku.com/info/wp-content/uploads/2026/04/b652729b4a1eecb47ebc1e6e01321a6e.pdf,熊本県陸上競技大会一覧（2026/5/31版）より追加,えがお健康スタジアム,false,event
3年公立前期選抜入試,2027-02-01,2027-02-01,true,,,予定,scheduled,,,,,false,event
Long-Distance in Omuta,2027-02-07,2027-02-07,true,,,予定,scheduled,,,,,false,event
3年後期期末テスト,2027-02-08,2027-02-08,true,,,予定,scheduled,,,,,false,event
1・2年後期期末テスト,2027-02-10,2027-02-10,true,,,予定,scheduled,,,,,false,event
建国記念の日,2027-02-11,2027-02-11,true,,,祝日,,holiday,,日本の祝日,,false,event
1・2年後期期末テスト,2027-02-12,2027-02-12,true,,,予定,scheduled,,,,,false,event
第５３回 熊日郡市対抗駅伝,2027-02-14,2027-02-14,true,,,予定,scheduled,,,,,false,event
熊本城マラソン,2027-02-21,2027-02-21,true,,,予定,scheduled,,,,,false,event
第６９回 金栗記念熊日３０Ｋロードレース（３０ｋｍ）,2027-02-21,2027-02-21,true,,,予定,scheduled,"ランニング, 県大会一覧",http://kumariku.com/info/wp-content/uploads/2026/04/b652729b4a1eecb47ebc1e6e01321a6e.pdf,熊本県陸上競技大会一覧（2026/5/31版）より追加,熊本城マラソンコース,false,event
天皇誕生日,2027-02-23,2027-02-23,true,,,祝日,,holiday,,日本の祝日,,false,event
第８０回 熊本市民駅伝大会,2027-02-27,2027-02-27,true,,,予定,scheduled,,,,,false,event
岱明中振替休業日,2027-03-02,2027-03-02,true,,,予定,scheduled,,,,,false,event
公立後期入試,2027-03-03,2027-03-04,true,,,予定,scheduled,,,,,false,event
岱明中卒業式,2027-03-06,2027-03-06,true,,,予定,scheduled,,,,,false,event
第７８回 金栗杯玉名ハーフマラソン（ハーフ･10ｋｍ）,2027-03-07,2027-03-07,true,,,予定,scheduled,,,,,false,event
第７回 天草市陸上競技記録会,2027-03-13,2027-03-13,true,,,予定,scheduled,"ランニング, 県大会一覧",http://kumariku.com/info/wp-content/uploads/2026/04/b652729b4a1eecb47ebc1e6e01321a6e.pdf,熊本県陸上競技大会一覧（2026/5/31版）より追加,あましんスタジアム,false,event
第２回 奥球磨女子駅伝大会,2027-03-14,2027-03-14,true,,,予定,scheduled,"ランニング, 県大会一覧",http://kumariku.com/info/wp-content/uploads/2026/04/b652729b4a1eecb47ebc1e6e01321a6e.pdf,熊本県陸上競技大会一覧（2026/5/31版）より追加,奥球磨,false,event
金栗駅伝,2027-03-14,2027-03-14,true,,,予定,scheduled,,,,,false,event
春季熊本陸協記録会,2027-03-20,2027-03-20,true,,,予定,scheduled,"ランニング, 県大会一覧",http://kumariku.com/info/wp-content/uploads/2026/04/b652729b4a1eecb47ebc1e6e01321a6e.pdf,熊本県陸上競技大会一覧（2026/5/31版）より追加,えがお健康スタジアム,false,event
春分の日,2027-03-21,2027-03-21,true,,,祝日,,holiday,,日本の祝日,,false,event
春分の日 振替休日,2027-03-22,2027-03-22,true,,,祝日,,holiday,,日本の祝日,,false,event
さくら記録会,2027-03-27,2027-03-27,true,,,予定,scheduled,,,,,false,event
昭和の日,2027-04-29,2027-04-29,true,,,祝日,,holiday,,日本の祝日,,false,event
憲法記念日,2027-05-03,2027-05-03,true,,,祝日,,holiday,,日本の祝日,,false,event
みどりの日,2027-05-04,2027-05-04,true,,,祝日,,holiday,,日本の祝日,,false,event
こどもの日,2027-05-05,2027-05-05,true,,,祝日,,holiday,,日本の祝日,,false,event
海の日,2027-07-19,2027-07-19,true,,,祝日,,holiday,,日本の祝日,,false,event
山の日,2027-08-11,2027-08-11,true,,,祝日,,holiday,,日本の祝日,,false,event
敬老の日,2027-09-20,2027-09-20,true,,,祝日,,holiday,,日本の祝日,,false,event
秋分の日,2027-09-23,2027-09-23,true,,,祝日,,holiday,,日本の祝日,,false,event
スポーツの日,2027-10-11,2027-10-11,true,,,祝日,,holiday,,日本の祝日,,false,event
文化の日,2027-11-03,2027-11-03,true,,,祝日,,holiday,,日本の祝日,,false,event
勤労感謝の日,2027-11-23,2027-11-23,true,,,祝日,,holiday,,日本の祝日,,false,event
