title,date,end_date,all_day,start_time,end_time,category,status,tags,urls,description,location,private,kind
元日,2022-01-01,2022-01-01,true,,,祝日,,holiday,,日本の祝日,,false,event
成人の日,2022-01-10,2022-01-10,true,,,祝日,,holiday,,日本の祝日,,false,event
建国記念の日,2022-02-11,2022-02-11,true,,,祝日,,holiday,,日本の祝日,,false,event
天皇誕生日,2022-02-23,2022-02-23,true,,,祝日,,holiday,,日本の祝日,,false,event
春分の日,2022-03-21,2022-03-21,true,,,祝日,,holiday,,日本の祝日,,false,event
昭和の日,2022-04-29,2022-04-29,true,,,祝日,,holiday,,日本の祝日,,false,event
憲法記念日,2022-05-03,2022-05-03,true,,,祝日,,holiday,,日本の祝日,,false,event
みどりの日,2022-05-04,2022-05-04,true,,,祝日,,holiday,,日本の祝日,,false,event
こどもの日,2022-05-05,2022-05-05,true,,,祝日,,holiday,,日本の祝日,,false,event
海の日,2022-07-18,2022-07-18,true,,,祝日,,holiday,,日本の祝日,,false,event
山の日,2022-08-11,2022-08-11,true,,,祝日,,holiday,,日本の祝日,,false,event
敬老の日,2022-09-19,2022-09-19,true,,,祝日,,holiday,,日本の祝日,,false,event
秋分の日,2022-09-23,2022-09-23,true,,,祝日,,holiday,,日本の祝日,,false,event
スポーツの日,2022-10-10,2022-10-10,true,,,祝日,,holiday,,日本の祝日,,false,event
文化の日,2022-11-03,2022-11-03,true,,,祝日,,holiday,,日本の祝日,,false,event
遅めの400mインターバル,2022-11-20,2022-11-20,true,,,予定,done,自分の練習,,80〜82で12本　間140m45秒前後,,false,event
勤労感謝の日,2022-11-23,2022-11-23,true,,,祝日,,holiday,,日本の祝日,,false,event
遅めの400mインターバル,2022-12-18,2022-12-18,true,,,予定,done,自分の練習,,400m80〜82で15本　間140m40〜45,,false,event
遅めの400mインターバル,2022-12-24,2022-12-24,true,,,予定,done,自分の練習,,400m80〜82で15本　間140m40〜45,,false,event
