Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
元日,01/01/2022,,01/01/2022,,True,"日本の祝日

Tags: holiday",,False
成人の日,01/10/2022,,01/10/2022,,True,"日本の祝日

Tags: holiday",,False
建国記念の日,02/11/2022,,02/11/2022,,True,"日本の祝日

Tags: holiday",,False
天皇誕生日,02/23/2022,,02/23/2022,,True,"日本の祝日

Tags: holiday",,False
春分の日,03/21/2022,,03/21/2022,,True,"日本の祝日

Tags: holiday",,False
昭和の日,04/29/2022,,04/29/2022,,True,"日本の祝日

Tags: holiday",,False
憲法記念日,05/03/2022,,05/03/2022,,True,"日本の祝日

Tags: holiday",,False
みどりの日,05/04/2022,,05/04/2022,,True,"日本の祝日

Tags: holiday",,False
こどもの日,05/05/2022,,05/05/2022,,True,"日本の祝日

Tags: holiday",,False
海の日,07/18/2022,,07/18/2022,,True,"日本の祝日

Tags: holiday",,False
山の日,08/11/2022,,08/11/2022,,True,"日本の祝日

Tags: holiday",,False
敬老の日,09/19/2022,,09/19/2022,,True,"日本の祝日

Tags: holiday",,False
秋分の日,09/23/2022,,09/23/2022,,True,"日本の祝日

Tags: holiday",,False
スポーツの日,10/10/2022,,10/10/2022,,True,"日本の祝日

Tags: holiday",,False
文化の日,11/03/2022,,11/03/2022,,True,"日本の祝日

Tags: holiday",,False
勤労感謝の日,11/23/2022,,11/23/2022,,True,"日本の祝日

Tags: holiday",,False
自分の練習,12/18/2022,,12/18/2022,,True,"400m80〜82で15本
間140m40〜45

Status: done
Tags: ランニング, 自分の練習",,False
自分の練習,12/24/2022,,12/24/2022,,True,"400m80〜82で15本
間140m40〜45

Status: done
Tags: ランニング, 自分の練習",,False
