Name,Date,End Date,Category,Status,Tags,URLs,Description,Location,All Day
元日,2020-01-01,2020-01-01,祝日,,holiday,,日本の祝日,,true
成人の日,2020-01-13,2020-01-13,祝日,,holiday,,日本の祝日,,true
建国記念の日,2020-02-11,2020-02-11,祝日,,holiday,,日本の祝日,,true
天皇誕生日,2020-02-23,2020-02-23,祝日,,holiday,,日本の祝日,,true
天皇誕生日 振替休日,2020-02-24,2020-02-24,祝日,,holiday,,日本の祝日,,true
春分の日,2020-03-20,2020-03-20,祝日,,holiday,,日本の祝日,,true
昭和の日,2020-04-29,2020-04-29,祝日,,holiday,,日本の祝日,,true
憲法記念日,2020-05-03,2020-05-03,祝日,,holiday,,日本の祝日,,true
みどりの日,2020-05-04,2020-05-04,祝日,,holiday,,日本の祝日,,true
こどもの日,2020-05-05,2020-05-05,祝日,,holiday,,日本の祝日,,true
憲法記念日 振替休日,2020-05-06,2020-05-06,祝日,,holiday,,日本の祝日,,true
海の日,2020-07-23,2020-07-23,祝日,,holiday,,日本の祝日,,true
スポーツの日,2020-07-24,2020-07-24,祝日,,holiday,,日本の祝日,,true
山の日,2020-08-10,2020-08-10,祝日,,holiday,,日本の祝日,,true
敬老の日,2020-09-21,2020-09-21,祝日,,holiday,,日本の祝日,,true
秋分の日,2020-09-22,2020-09-22,祝日,,holiday,,日本の祝日,,true
文化の日,2020-11-03,2020-11-03,祝日,,holiday,,日本の祝日,,true
800mPB,2020-11-15,2020-11-15,予定,scheduled,ランニング,http://www.kumariku.org/20/kekka/20201115rikkyou/rel235.html,,,true
勤労感謝の日,2020-11-23,2020-11-23,祝日,,holiday,,日本の祝日,,true
