title,date,end_date,all_day,start_time,end_time,category,status,tags,urls,description,location,private,kind
元日,2020-01-01,2020-01-01,true,,,祝日,,holiday,,日本の祝日,,false,event
成人の日,2020-01-13,2020-01-13,true,,,祝日,,holiday,,日本の祝日,,false,event
建国記念の日,2020-02-11,2020-02-11,true,,,祝日,,holiday,,日本の祝日,,false,event
天皇誕生日,2020-02-23,2020-02-23,true,,,祝日,,holiday,,日本の祝日,,false,event
天皇誕生日 振替休日,2020-02-24,2020-02-24,true,,,祝日,,holiday,,日本の祝日,,false,event
春分の日,2020-03-20,2020-03-20,true,,,祝日,,holiday,,日本の祝日,,false,event
昭和の日,2020-04-29,2020-04-29,true,,,祝日,,holiday,,日本の祝日,,false,event
憲法記念日,2020-05-03,2020-05-03,true,,,祝日,,holiday,,日本の祝日,,false,event
みどりの日,2020-05-04,2020-05-04,true,,,祝日,,holiday,,日本の祝日,,false,event
こどもの日,2020-05-05,2020-05-05,true,,,祝日,,holiday,,日本の祝日,,false,event
憲法記念日 振替休日,2020-05-06,2020-05-06,true,,,祝日,,holiday,,日本の祝日,,false,event
海の日,2020-07-23,2020-07-23,true,,,祝日,,holiday,,日本の祝日,,false,event
スポーツの日,2020-07-24,2020-07-24,true,,,祝日,,holiday,,日本の祝日,,false,event
山の日,2020-08-10,2020-08-10,true,,,祝日,,holiday,,日本の祝日,,false,event
敬老の日,2020-09-21,2020-09-21,true,,,祝日,,holiday,,日本の祝日,,false,event
秋分の日,2020-09-22,2020-09-22,true,,,祝日,,holiday,,日本の祝日,,false,event
文化の日,2020-11-03,2020-11-03,true,,,祝日,,holiday,,日本の祝日,,false,event
800mPB,2020-11-15,2020-11-15,true,,,予定,scheduled,ランニング,http://www.kumariku.org/20/kekka/20201115rikkyou/rel235.html,,,false,event
勤労感謝の日,2020-11-23,2020-11-23,true,,,祝日,,holiday,,日本の祝日,,false,event
