year,rank,team,total,leg,name,grade,split,cumulative,source_drive_id
2025,1,玉名,41:58,1,川原芽吹,2,10:16,10:16,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,1,玉名,41:58,2,内田愛祐,3,6:43,16:59,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,1,玉名,41:58,3,辻美空,3,6:59,23:58,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,1,玉名,41:58,4,内田千惺,3,6:56,30:54,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,1,玉名,41:58,5,水本星夏,2,11:04,41:58,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,2,南関,43:45,1,稗島葵音,3,11:00,11:00,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,2,南関,43:45,2,米田美空,2,7:12,18:12,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,2,南関,43:45,3,福山結衣,1,6:57,25:09,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,2,南関,43:45,4,堀田稔々,2,7:24,32:33,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,2,南関,43:45,5,平山果朋,3,11:12,43:45,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,3,玉東,44:24,1,坂村優奈,3,11:03,11:03,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,3,玉東,44:24,2,榎本佳澄,2,7:04,18:07,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,3,玉東,44:24,3,藤野四季,3,7:32,25:39,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,3,玉東,44:24,4,伊牟田百香,3,7:37,33:16,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,3,玉東,44:24,5,上村百叶,2,11:08,44:24,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,4,長洲,44:33,1,中村羽音,2,11:08,11:08,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,4,長洲,44:33,2,山川綾,1,7:03,18:11,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,4,長洲,44:33,3,濵北愛,1,7:13,25:24,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
