Name,Date,End Date,Category,Status,Tags,URLs,Description,Location,All Day
元日,2024-01-01,2024-01-01,祝日,,holiday,,日本の祝日,,true
成人の日,2024-01-08,2024-01-08,祝日,,holiday,,日本の祝日,,true
長洲マラソン,2024-01-08,2024-01-08,予定,scheduled,,,,,true
郡市対抗熊日女子駅伝,2024-01-28,2024-01-28,予定,scheduled,,,,,true
有給,2024-01-29,2024-01-29,予定,scheduled,,,,,true
熊日駅伝,2024-02-10,2024-02-10,予定,scheduled,,,,,true
建国記念の日,2024-02-11,2024-02-11,祝日,,holiday,,日本の祝日,,true
建国記念の日 振替休日,2024-02-12,2024-02-12,祝日,,holiday,,日本の祝日,,true
熊本城マラソン,2024-02-18,2024-02-18,予定,scheduled,,,,,true
有給,2024-02-19,2024-02-19,予定,scheduled,,,,,true
勉強会,2024-02-20T10:30:00,2024-02-20,予定,scheduled,,,,,false
飲み会,2024-02-22,2024-02-22,予定,scheduled,,,,,true
天皇誕生日,2024-02-23,2024-02-23,祝日,,holiday,,日本の祝日,,true
陸上部お別れ会,2024-03-09,2024-03-09,予定,scheduled,,,,,true
金栗駅伝,2024-03-10,2024-03-10,予定,scheduled,,,,,true
会社の飲み会,2024-03-15,2024-03-15,予定,scheduled,,,,,true
LAST RACE in KYUSHU 2024,2024-03-16,2024-03-16,予定,scheduled,,,"ARITA UNITED
何人必要？
11時〜17時くらい
前日はなるべく空けてほしい
",,true
春分の日,2024-03-20,2024-03-20,祝日,,holiday,,日本の祝日,,true
大牟田春季記録会,2024-03-23,2024-03-23,予定,scheduled,,,,,true
自分の練習,2024-04-14,2024-04-14,予定,done,"ランニング, 自分の練習",,"ペース: k/4'15
距離: 7.05km
時間: 30'00",,true
飲み会,2024-04-19,2024-04-19,予定,scheduled,,,,,true
昭和の日,2024-04-29,2024-04-29,祝日,,holiday,,日本の祝日,,true
憲法記念日,2024-05-03,2024-05-03,祝日,,holiday,,日本の祝日,,true
みどりの日,2024-05-04,2024-05-04,祝日,,holiday,,日本の祝日,,true
こどもの日,2024-05-05,2024-05-05,祝日,,holiday,,日本の祝日,,true
こどもの日 振替休日,2024-05-06,2024-05-06,祝日,,holiday,,日本の祝日,,true
ガチマナ会,2024-05-21T10:30:00,2024-05-21,予定,scheduled,,,,,false
高校総体陸上,2024-05-31,2024-05-31,予定,scheduled,,,,,true
中学選手権,2024-06-08,2024-06-08,予定,scheduled,,,,,true
通信陸上,2024-06-22,2024-06-22,予定,scheduled,,,,,true
土山有給,2024-06-24,2024-06-24,予定,scheduled,,,,,true
長距離記録会,2024-07-06,2024-07-06,予定,scheduled,,,,,true
海の日,2024-07-15,2024-07-15,祝日,,holiday,,日本の祝日,,true
県中体連陸上,2024-07-20,2024-07-20,予定,scheduled,,,,,true
土山有給,2024-07-22,2024-07-22,予定,scheduled,,,,,true
熊本市陸上競技協会,2024-07-27,2024-07-27,予定,scheduled,,,,,true
荒尾の記録会,2024-07-28,2024-07-28,予定,scheduled,,,,,true
玉名選手権,2024-08-03,2024-08-03,予定,scheduled,,,,,true
ATRC  & LTC 合同サマータイムトライアル,2024-08-04,2024-08-04,予定,scheduled,,,,,true
山の日,2024-08-11,2024-08-11,祝日,,holiday,,日本の祝日,,true
